title,artist,nationality,date,medium,classification,department,object_id,url,image_url
Untitled from Eight Variations for Heiner Friedrich Gallery (Acht Variationen für die Galerie Heiner Friedrich),Fred Sandback,(American),1971–73,One from a set of eight screenprints,Print,Drawings & Prints,222815,https://www.moma.org/collection/works/222815,https://www.moma.org/media/W1siZiIsIjQwNjc3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c0247880d421fcb0
Linking Graphics,Terry Winters,(American),2000,Aquatint,Print,Drawings & Prints,76613,https://www.moma.org/collection/works/76613,정보없음
Heinz Veuhoff,Heinz Veuhoff,(German),1965,Lithograph,Print,Drawings & Prints,71575,https://www.moma.org/collection/works/71575,https://www.moma.org/media/W1siZiIsIjI1Mzg0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7bbc3afd1fc2a736
Untitled from The New York Collection for Stockholm,Cy Twombly,(American),1973,"Lithograph and screenprint from a portfolio of seventeen screenprints, nine lithographs, two lithographs with screenprint, one photocopy, and one photograph",Print,Drawings & Prints,72071,https://www.moma.org/collection/works/72071,https://www.moma.org/media/W1siZiIsIjIyMzY3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fad5e32c78cd2325
"In-text plates (page 84) from Arkhitekturnye fantazii: 101 kompozitsiia v kraskakh, 101 arkhitekturnaia miniatiura (Architectural Fantasies: 101 Compositions in Color, 101 Architectural Miniatures)",Iakov Chernikhov,(Russian),1933,Two from an illustrated book with 214 letterpress illustrations,Illustrated Book,Drawings & Prints,416870,정보없음,정보없음
"Not Wanting to Say Anything about Marcel, Plexigram II",John Cage,(American),1969,Eight screenprinted plexiglas panels and wood base,Multiple,Drawings & Prints,11082,https://www.moma.org/collection/works/11082,https://www.moma.org/media/W1siZiIsIjYwOTAxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6b94a493ea8aab71
Plate (folio 16) from Self Portraits,James Brown,(American),1983,One from an illustrated book with thirty lithographs (including cover),Illustrated Book,Drawings & Prints,19530,https://www.moma.org/collection/works/19530,https://www.moma.org/media/W1siZiIsIjU1ODQ5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8aceceba184a2f99
S.O.S. Smoke Signals from Underground (SOS. Senyals de fum des d'un subsòl),Antoni Llena,(Spanish),2016,Pastel and colored pencil on paper,Drawing,Drawings & Prints,222435,https://www.moma.org/collection/works/222435,https://www.moma.org/media/W1siZiIsIjM5OTYzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6df7bd915f7b8fc2
"Sketchbook: El Golea, II",Jean Dubuffet,(French),1948,Ink on paper,Drawing,Drawings & Prints,85097,https://www.moma.org/collection/works/85097,https://www.moma.org/media/W1siZiIsIjI5MjQwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9c8111d1fc4b800b
Dust from Earth Projects,Robert Morris,(American),1969,One from a portfolio of ten lithographs,Print,Drawings & Prints,62423,https://www.moma.org/collection/works/62423,https://www.moma.org/media/W1siZiIsIjI2MDEyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e50a17ea9fe740bb
Plate II from the series Rifts (Eclaircies),Pierre Alechinsky,(Belgian),1975,"Lithograph, etching and rubber stamp from a series of seven etchings and lithographs with rubber stamp additions",Print,Drawings & Prints,71652,https://www.moma.org/collection/works/71652,https://www.moma.org/media/W1siZiIsIjI1MTkxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=12d412244594173d
"Plate 45 from Arkhitekturnye fantazii: 101 kompozitsiia v kraskakh, 101 arkhitekturnaia miniatiura (Architectural Fantasies: 101 Compositions in Color, 101 Architectural Miniatures)",Iakov Chernikhov,(Russian),1933,One from an illustrated book with 214 letterpress illustrations,Illustrated Book,Drawings & Prints,416930,정보없음,정보없음
"The Arts Club of Chicago, Chicago, IL (Main lobby window frame. Perspective. Sketch.)",Ludwig Mies van der Rohe,(American),1948—1951,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,462083,정보없음,정보없음
Dancer,Gino Severini,(Italian),1912,Pastel on paper,Drawing,Drawings & Prints,38344,https://www.moma.org/collection/works/38344,https://www.moma.org/media/W1siZiIsIjkxMjg0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=b6b1a17dec9b08e7
In-text plate (page 9) from Endocrinology,Kiki Smith,(American),1997,Offset lithograph from an illustrated book with twenty offset lithographs and two photogravures,Illustrated Book,Drawings & Prints,86637,https://www.moma.org/collection/works/86637,https://www.moma.org/media/W1siZiIsIjk3NjM2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMTAyNHgxMDI0XHUwMDNlIl1d.jpg?sha=1ee6ddd177c14be6
Blaues Nest (Blue Nest),Arnulf Rainer,(Austrian),1997,Etching and drypoint,Print,Drawings & Prints,71399,https://www.moma.org/collection/works/71399,https://www.moma.org/media/W1siZiIsIjUyODAzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=dfb37932d7840499
Untitled (Plant and dog in the rain) from the series Time of My Life,Yoshitomo Nara,(Japanese),1992–2000,Pencil and colored pencil on envelope,Drawing,Drawings & Prints,88470,https://www.moma.org/collection/works/88470,https://www.moma.org/media/W1siZiIsIjE3MzI2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b7600258358c2bc1
Glimpse (Augenblick) (for Parkett no. 43),Juan Muñoz,(Spanish),1995,Multiple of etched glass and wood,Multiple,Drawings & Prints,61711,https://www.moma.org/collection/works/61711,정보없음
Armchair (model DAR),Charles Eames,(American),1948-50,"Fiberglass-reinforced polyester, steel rod, rubber shockmounts, and plastic glides",Design,Architecture & Design,3142,https://www.moma.org/collection/works/3142,https://www.moma.org/media/W1siZiIsIjIxMDkzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=419f1d25eb9f1d57
Clowiekzzielaza (The Man of Iron),Andrzej Pagowski,(Polish),1981,Lithograph,Design,Architecture & Design,139593,https://www.moma.org/collection/works/139593,https://www.moma.org/media/W1siZiIsIjE5ODcwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=912395f6ee020cf2
Ballad of Juan Dimio (Corrido de Juan Dimio),José Guadalupe Posada,(Mexican),after 1891,Broadside with relief print and letterpress,Print,Drawings & Prints,69297,정보없음,정보없음
"Coffee Maker, Ruth's Home, Pomona Road, Ann Arbor, MI",Joanne Leonard,(American),1978,Gelatin silver print,Photograph,Photography,397778,https://www.moma.org/collection/works/397778,https://www.moma.org/media/W1siZiIsIjQ2NjE4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=900385622aa84569
Untitled,Alexander Ross,(American),2008,"Watercolor, cut-and-pasted printed paper and paper, vinyl paint, crayon, colored pencil, and pencil on paper",Drawing,Drawings & Prints,299637,https://www.moma.org/collection/works/299637,https://www.moma.org/media/W1siZiIsIjQ3OTA3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=789bef17aaebce21
Untitled from Reverse Golems,David Musgrave,(British),2012,Mezzotint from a portfolio of five etchings and one mezzotint,Print,Drawings & Prints,199700,https://www.moma.org/collection/works/199700,https://www.moma.org/media/W1siZiIsIjM0MDQ0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=804a2b65fb793fd9
Equivocation,Ben Cunningham (Benjamin Frazier Cunningham),(American),1964,Acrylic on board,Painting,Painting & Sculpture,78803,https://www.moma.org/collection/works/78803,https://www.moma.org/media/W1siZiIsIjE1MDk1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3b853526ede596f7
Saint-Cloud,Eugène Atget,(French),"Morning, 6:00. 1921",Albumen silver print,Photograph,Photography,40513,https://www.moma.org/collection/works/40513,https://www.moma.org/media/W1siZiIsIjE0OTIyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5d30d3eb41e6c82b
"Imperial Exposition of the German Textile and Garment Industry, Berlin, Germany (Plans. Machine platforms and railings.)",Lilly Reich,(German),1937,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,148284,정보없음,정보없음
Alphabetical Order,Jockum Nordström,(Swedish),2003,"Cut-and-pasted painted paper and cut-and-pasted paper with ink, watercolor, pencil, colored pencil, and ballpoint pen on two pieces of paper",Drawing,Drawings & Prints,96832,https://www.moma.org/collection/works/96832,https://www.moma.org/media/W1siZiIsIjIyMzI2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=63d8cdc75956555d
No Title (Paint unspeakable.),Raymond Pettibon,(American),1991,Ink and colored ink on paper,Drawing,Drawings & Prints,33797,https://www.moma.org/collection/works/33797,https://www.moma.org/media/W1siZiIsIjMzMjAyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=85645c17bc0da6e9
EMBOSSED DRAWING,B. Colin Greenly,(American),1964,Inkless intaglio,Print,Drawings & Prints,64952,정보없음,정보없음
"Tapestry No. 2: ""You can also weave what you cannot see"" (Teppich Nr. 2: “Man darf auch weben, was man nicht sieht”)","Dieter Roth, Ingrid Wiener",(Swiss) (Austrian),n.d.,Pencil on paper on board with wood frame,Drawing,Drawings & Prints,125146,정보없음,정보없음
Incandescence,Pierre Mercure,(Canadian),정보없음,Open reel,Audio,Fluxus Collection,175315,정보없음,정보없음
Speed Skiing Helmet,"Kevan Laycraft, Alan Randall Best",(Canadian) (Canadian),1981,Fiberglass and plastic,Design,Architecture & Design,4428,https://www.moma.org/collection/works/4428,https://www.moma.org/media/W1siZiIsIjIzMDUzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2b752f6828015d58
"Elsa Maxwell's Toy Ball, New York",William Klein,(American),1955,Gelatin silver print,Photograph,Photography,177226,https://www.moma.org/collection/works/177226,https://www.moma.org/media/W1siZiIsIjI5MTAzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=925db0ff30400178
QuickTake Digital Camera,"Marc van de Loo, Tim Parsey",(Swiss) (British),c. 1993,ABS polymer and urethane rubber,Design,Architecture & Design,3766,https://www.moma.org/collection/works/3766,https://www.moma.org/media/W1siZiIsIjIyOTUyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fdc19c30f985dbf6
Untitled,Norman Zammitt,(American),1967,Lithograph,Print,Drawings & Prints,75016,https://www.moma.org/collection/works/75016,https://www.moma.org/media/W1siZiIsIjU1MDg3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2987a737c8943d95
"Wrapped Floor and Closed Windows (Project for Haus Lange Museum, Krefeld)",Christo,(American),1971,Pencil and oil with fabric stapled to board,Drawing,Drawings & Prints,38192,https://www.moma.org/collection/works/38192,https://www.moma.org/media/W1siZiIsIjYwODA5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b24c142df248976f
Prometheus,František Kupka,(Czech),(1909),"Gouache, watercolor, ink, and pencil on paper",Drawing,Drawings & Prints,36018,https://www.moma.org/collection/works/36018,https://www.moma.org/media/W1siZiIsIjIxMDk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=767010ec376a5982
Diet Soda,Gregory Masurovsky,(American),1969,Lithograph,Print,Drawings & Prints,65887,https://www.moma.org/collection/works/65887,https://www.moma.org/media/W1siZiIsIjIzMzQwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e2617a2f8bf4c967
"IIT Robert F. Carr Memorial Chapel of Saint Savior, Chicago, IL (Elevations [south, west, and east].)",Ludwig Mies van der Rohe,(American),1949—1952,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,458887,정보없음,정보없음
Archival envelope,Ben Kinmont,(American),정보없음,Archival envelope,Print,Drawings & Prints,169447,정보없음,정보없음
Caligula from the portfolio XII Romans,Rudy Pozzatti,(American),1963,One from a portfolio of fourteen lithographs (including title page and colophon),Print,Drawings & Prints,76010,https://www.moma.org/collection/works/76010,https://www.moma.org/media/W1siZiIsIjU0MjcyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2052a56874c12152
NAPKINS from the portfolio ETC,Omar Rayo,(Colombian),1967,"Inkless intaglio from a portfolio of fourteen inkless intaglios, three with stencil",Print,Drawings & Prints,66076,정보없음,정보없음
"Golf Club Project, Krefeld, Germany (Aerial perspective.)",Ludwig Mies van der Rohe,(American),1930,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,482217,정보없음,정보없음
"Imperial Exposition of the German Textile and Garment Industry, Berlin, Germany (Elevations and plan. Glass walls.)",Lilly Reich,(German),1937,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,148329,정보없음,정보없음
EK Green,Ellsworth Kelly,(American),1990,Lithograph,Print,Drawings & Prints,60859,https://www.moma.org/collection/works/60859,https://www.moma.org/media/W1siZiIsIjMxMTMyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=cf4679d31913e64a
Mealtime in the Trench (Loretto Heights) (Mahlzeit in der Sappe [Lorettohöhe]) from The War (Der Krieg),Otto Dix,(German),1924,"Etching and aquatint from a portfolio of fifty etching, aquatint, and drypoints",Print,Drawings & Prints,87731,https://www.moma.org/collection/works/87731,https://www.moma.org/media/W1siZiIsIjEyMzgxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c181bc3b59ebf84b
"In the Sun, in the Sand (plate, folio 10) from Toro Desconocido",Romas Viesulas,(American),1960,Lithograph from an illustrated book of ten lithographs (including title page),Illustrated Book,Drawings & Prints,23660,https://www.moma.org/collection/works/23660,정보없음
La Proue de la table,Alexander Calder,(American),1967,Illustrated book with seven etchings and journal with letterpress reproductions,Illustrated Book,Drawings & Prints,32126,https://www.moma.org/collection/works/32126,https://www.moma.org/media/W1siZiIsIjQ4NDE1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ea29acc616fd3df3
"Imperial Exposition of the German Textile and Garment Industry, Berlin, Germany (Elevations, sections, and plan. Two vitrines.)",Lilly Reich,(German),1937,Pencil on tracing paper,Mies van der Rohe Archive,Architecture & Design,148328,정보없음,정보없음
Senior Class in Economics,Frances Benjamin Johnston,(American),1899-1900,Platinum print,Photograph,Photography,57096,https://www.moma.org/collection/works/57096,https://www.moma.org/media/W1siZiIsIjQzNTkyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=37b31868e818f800
Blood/Nerves (Blut/Nerven),Joseph Beuys,(German),1974,Pencil on paper,Drawing,Drawings & Prints,95521,https://www.moma.org/collection/works/95521,https://www.moma.org/media/W1siZiIsIjExMzY0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1d2cd00ef5048da1
"Variant of plate from page 27 (supplementary suite, plate 11) from BALLADES",J.J.J. (Jean-Jacques-Joachim) Rigal,(French),1956,"Aquatint and etching, printed in black",Illustrated Book,Drawings & Prints,30206,정보없음,정보없음
"IITRI Minerals and Metals Research Building, Chicago, IL (Roof and wall details. Elevation, plan, sections.)",Ludwig Mies van der Rohe,(American),1942—1943,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,454523,정보없음,정보없음
"Soap Bubbles Floated, They Floated Into Outer Space",Koichi Sato,(Japanese),1989,Lithograph,Design,Architecture & Design,7784,https://www.moma.org/collection/works/7784,https://www.moma.org/media/W1siZiIsIjUyNzIyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=13d32743a223f8bc
One from Female Portraits,Carroll Dunham,(American),2000,One from a portfolio of thirteen lithographs,Print,Drawings & Prints,87700,https://www.moma.org/collection/works/87700,https://www.moma.org/media/W1siZiIsIjIyMDM2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=976bccf431c27e7a
Yugoslavia,Henri Cartier-Bresson,(French),1965,Gelatin silver print,Photograph,Photography,110770,https://www.moma.org/collection/works/110770,https://www.moma.org/media/W1siZiIsIjE1OTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ee2c7c7495287d1c
Loving the Alien,"David Bowie, David Mallet",(British) (),1985,"Video (color, sound)",Video,Media and Performance,118114,https://www.moma.org/collection/works/118114,정보없음
"Martin Luther King Jr. Memorial Library, Washington, DC (Circulation work-room and conveyor belt. Section and plan.)",Ludwig Mies van der Rohe,(American),1965—1968,Pencil on paper,Mies van der Rohe Archive,Architecture & Design,469497,정보없음,정보없음
Taxonomy of Non-Endanger Species,Mark Dion,(American),1990,Colored pencil and pencil on paper in artist's frame,Drawing,Drawings & Prints,95818,https://www.moma.org/collection/works/95818,https://www.moma.org/media/W1siZiIsIjExMjg0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=23eab0025a8c57c3
Untitled from VVV PORTFOLIO,David Hare,(American),c. 1942,Gelatin silver print,Photograph,Photography,44070,정보없음,정보없음
"Plug-in City: Maximum Pressure Area, project (Section)",Peter Cook,(British),1964,Ink and gouache on photomechanical print,Architecture,Architecture & Design,797,https://www.moma.org/collection/works/797,https://www.moma.org/media/W1siZiIsIjUzMDA3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=785825ab24d898db
Untitled,Maryan S. Maryan (Pinchas Burstein),(American),1975,Lithograph,Print,Drawings & Prints,65126,https://www.moma.org/collection/works/65126,https://www.moma.org/media/W1siZiIsIjIyNTMxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=32fe7f9a992c8fda
Untitled,Louise Bourgeois,(American),2002,Screenprint,Print,Drawings & Prints,128354,https://www.moma.org/collection/works/128354,https://www.moma.org/media/W1siZiIsIjE2OTkzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b2d25df1f0f5fe42
Untitled from Found Masks 1975–1978,Kirsten Hawthorne,(American),"1975–78, published 1978",One from a portfolio of 29 photocopies,Print,Drawings & Prints,9382,https://www.moma.org/collection/works/9382,https://www.moma.org/media/W1siZiIsIjE5MjIxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f80f24b79110a33a
Photoradiogram,Radio Corporation of America,(American),1926,Photoradiogram,Photograph,Photography,58675,https://www.moma.org/collection/works/58675,https://www.moma.org/media/W1siZiIsIjIzNTM2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4035a1575c9a41c6
Untitled,Unidentified photographer,(),c. 1865,Ambrotype with applied color,Photograph,Photography,55135,https://www.moma.org/collection/works/55135,https://www.moma.org/media/W1siZiIsIjUzODc3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c5cd66faddce8685
British World War II Poster,Unknown artist,(),1939-1945,Poster,Design,Architecture & Design,5759,정보없음,정보없음
"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal (Plan and perspective sketches)",Álvaro Siza,(Portuguese),1971-1974,Pen and pencil on paper,Architecture,Architecture & Design,161403,https://www.moma.org/collection/works/161403,https://www.moma.org/media/W1siZiIsIjI5MzgzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e84e921b1cd34817
"Back cover of Sketchbook #5, Paris",Ellsworth Kelly,(American),1948,Sketchbook with ink and pencil on paper,Notebook,Drawings & Prints,439568,정보없음,정보없음
Best Wishes from Gilbert and George (Grüsse von Gilbert und George) from En Bloc,Konrad Lueg,(German),1969,Envelope with postcard,Print,Drawings & Prints,149735,정보없음,정보없음
"Plate 2 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,(American),1995,"Photogravure, with hand additions",Print,Drawings & Prints,119377,https://www.moma.org/collection/works/119377,https://www.moma.org/media/W1siZiIsIjE1NjI2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c0d36812163197fe
Sheela's letterhead,Alvin Lustig,(American),1947,Letterpress,Design,Architecture & Design,198638,https://www.moma.org/collection/works/198638,정보없음
Tropical Night,Christopher Cozier,(Trinidad and Tobagonian),2006-14,"1 of 268 sheets with acrylic, ink, colored ink, pencil, and colored pencil on paper, some with stamped ink, stencil, solvent transfer, and cut-and-pasted colored and painted paper",Drawing,Drawings & Prints,444400,https://www.moma.org/collection/works/444400,https://www.moma.org/media/W1siZiIsIjU0MDc1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=995537481035c4f4
RAMLEH,Francis Frith,(British),1857,Albumen silver print,Photograph,Photography,47266,정보없음,정보없음
"Artist's Proof for the cover of Pepsi-Cola World, April, 1959","Robert Brownjohn, Ivan Chermayeff, Thomas Geismar",(American) (American) (American),1959,Lithograph,Design,Architecture & Design,155355,https://www.moma.org/collection/works/155355,https://www.moma.org/media/W1siZiIsIjIzNTI3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7662fd4cb46eb8d7
Untitled from the series 1999,Zhang Dali,(Chinese),1998–2003,Chromogenic print,Photograph,Photography,404975,https://www.moma.org/collection/works/404975,https://www.moma.org/media/W1siZiIsIjQ3NzQ3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e3b6adfecc9d9b9f
Fragment from Homage to New York,Jean Tinguely,(Swiss),1960,"Painted metal, fabric, tape, wood, and rubber tires",Sculpture,Painting & Sculpture,81174,https://www.moma.org/collection/works/81174,https://www.moma.org/media/W1siZiIsIjIxMDc3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a45374c5046f8955
"Anthoxanthum odoratum (Sweet Vernalgrass), Culicidae (Mosquito), Myrmica rubra (European Fire Ant). Sheet 37 from the portfolio Nature Studies",Hilma af Klint,(Swedish),"May 27–29, 1920","Watercolor, pencil, ink, metallic paint, and gouache on paper from a portfolio of 46 drawings",Drawing,Drawings & Prints,432955,https://www.moma.org/collection/works/432955,https://www.moma.org/media/W1siZiIsIjUxNjkxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3f81925b711920c8
THREE FIGURES AT THE SEASHORE,Axel Olson,(Swedish),정보없음,"Lithograph, printed in color",Print,Drawings & Prints,62175,정보없음,정보없음
Untitled,John Bock,(German),2002,"Felt-tip pen, animal excrement, medicine blister pack, and pill on paper",Drawing,Drawings & Prints,95567,https://www.moma.org/collection/works/95567,https://www.moma.org/media/W1siZiIsIjExMDk5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9c2f91924998907d
It Breaks If They Are Separated,Louise Bourgeois,(American),2002,"Drypoint, with hand additions",Print,Drawings & Prints,119706,https://www.moma.org/collection/works/119706,https://www.moma.org/media/W1siZiIsIjE2NjE2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6fc8987cbfc41ccd
"Untitled from The Bride Stripped Bare by Her Bachelors, Even (The Green Box) (La mariée mise à nu par ses célibataires, même [Boîte verte])",Marcel Duchamp,(American),1934,Collotype reproduction from a box with ninety-four collotype reproductions (some with lithograph),Illustrated Book,Drawings & Prints,174620,https://www.moma.org/collection/works/174620,https://www.moma.org/media/W1siZiIsIjYxODc3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0b24a8c9f3095b8f
30 Dnei,"Georgii Stenberg, Vladimir Stenberg",(Russian) (Russian),1929–31,"A (no. 1): Cover with letterpress photomontage illustration on front; letterpress photographic illustrations by Aleksandr Rodchenko, Sergei Tret'iakov, and others, and letterpress illustrations by V. Kozlinskii, A. Breia, A. Radakova, and Evg. Mandel'berg.",Illustrated Book,Drawings & Prints,91234,정보없음,정보없음
Rocks Marked by Wgt,Robert Watts,(American),1964,"Plastic box with offset label, containing eight rocks with pressure-sensitive stickers and ink",Multiple,Drawings & Prints,131822,정보없음,정보없음
"(Cornfield, Fence and Mountain)",John G. Bullock,(American),n.d.,Platinum print,Photograph,Photography,51439,정보없음,정보없음
"Two boys with a box of their grandmother's bones, Bogota, Colombia",Bastienne Schmidt,(German),1991,Gelatin silver print,Photograph,Photography,50630,https://www.moma.org/collection/works/50630,https://www.moma.org/media/W1siZiIsIjIxNjQzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=11e6ff48e0c319a5
"Page from Sketchbook #18, Paris & Sanary",Ellsworth Kelly,(American),1951-52,"Page from a spiral-bound sketchbook with pencil, ink, flet-tip pen, watercolor, and colored pencil on paper",Notebook,Drawings & Prints,440299,정보없음,정보없음
