title,artist,nationality,date,medium,classification,department,object_id,url,image_url
"Album cover for Sizzling Strings, Castanets, and Percussion",Sam Suliman,(),1975,Lithograph,Design,Architecture & Design,188990,https://www.moma.org/collection/works/188990,https://www.moma.org/media/W1siZiIsIjMxNjg4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=e01a8d64d03e5e37
"Pragati Maidan: Hall of Nations and Halls of Industries for the India International Trade Fair, New Delhi, India (Sketches)",Raj Rewal,(Indian),1970,Ink on vellum,Architecture,Architecture & Design,274523,https://www.moma.org/collection/works/274523,https://www.moma.org/media/W1siZiIsIjQyODEzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=8786007f70fc90f2
"In the Public Bar at Charlie Brown's, Limehouse",Bill Brandt,(British),c. 1942,Gelatin silver print,Photograph,Photography,104291,https://www.moma.org/collection/works/104291,https://www.moma.org/media/W1siZiIsIjIwNzY3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7225ca9a6b76ebe2
Plate (folio 12 verso) from LE RÊVE DE L'AMMONITE,Pierre Alechinsky,(Belgian),1972-1975,"Lift ground aquatint, printed in color, with inserted glassine overlay with printed words",Illustrated Book,Drawings & Prints,19971,정보없음,정보없음
"Ballainvilliers, entrée du village",Eugène Atget,(French),June 1925,"Gelatin silver printing-out-paper print, printed 1980",Photograph,Photography,54354,정보없음,정보없음
Invitation to Paradise (Invitation au paradis),Edgard Tytgat,(Belgian),1925,Woodcut,Print,Drawings & Prints,63812,https://www.moma.org/collection/works/63812,https://www.moma.org/media/W1siZiIsIjE3Njg4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=65ff4286fa0d14b3
Untitled,Unidentified photographer,(),c. 1938–60,Gelatin silver print,Photograph,Photography,277152,https://www.moma.org/collection/works/277152,https://www.moma.org/media/W1siZiIsIjQzMjE1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=41e8b442e6d1d857
"Le Mirliton, no. 138",Théophile-Alexandre Steinlen,(French),"December 1, 1893",Journal with relief halftone illustration,Periodical,Drawings & Prints,183739,https://www.moma.org/collection/works/183739,https://www.moma.org/media/W1siZiIsIjMxOTAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d6ce2a5792e8b6b9
"Rue de La Reynie, étameur",Eugène Atget,(French),1912,Gelatin silver printing-out-paper print,Photograph,Photography,39461,https://www.moma.org/collection/works/39461,https://www.moma.org/media/W1siZiIsIjE0OTE2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=771f93d01d2fb21f
Untitled from X + X (Ten Works by Ten Painters),Larry Poons,(American),1964,One from a portfolio of ten screenprints,Print,Drawings & Prints,62799,https://www.moma.org/collection/works/62799,https://www.moma.org/media/W1siZiIsIjIwNjE4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=064b531f22475f11
